Company Name,Title,Link,Snippet
Eli Lily,Danielle French - Associate Director - Clinical Development and ...,https://www.linkedin.com/in/danielle-french-a1941522,Associate Director - Clinical Trial Supply Management at Eli Lilly and Company · Experience: Eli Lilly and Company · Education: Indiana University Kokomo ...
Eli Lily,Brad Holmes - Associate Director- Clinical Laboratory Operations ...,https://www.linkedin.com/in/brad-holmes-558b0064,Responsible for partnering with medical study teams and manufacturing to enable clinical research by managing the supply chain of clinical trial material for ...
Eli Lily,Nicole Jaskiewicz - Clinical Trial Supply Management - Sr ...,https://www.linkedin.com/in/nicole-jaskiewicz-855348a8,"I bring a strong charismatic personality that brings a team together in order to execute the supply chain, mitigating through risks and planning through ..."
Eli Lily,Anna Salibra - Manager - Clinical Development Trial Lead - Eli Lilly ...,https://ie.linkedin.com/in/anna-salibra-0a117712a,Manager - Clinical Development Trial Lead · Capable of leading a project and cross-functional teams toward a common goal in a challenging environment.
Eli Lily,Michelle Caylor - Clinical Research Coordinator - University of ...,https://www.linkedin.com/in/michelle-caylor-289350a,"Worked on pharmaceutical sponsored studies, sponsors included Sanofi-Aventis, Cougar Biotech and Eli Lily. Reviewed patient charts for CRF entry, CRF entry ..."
Eli Lily,Nadia Sarran - Lead Clinical Research Coordinator - Compass ...,https://www.linkedin.com/in/nadia-sarran-328b0374,"... Eli Lily Company, Hoffmann–La Roche, Abbott Laboratories, Procter & Gamble ... Executive Director of School Consultation at Brett DiNovi & Associates, L.L.C.."
Eli Lily,Sara Garvey - Research Assistant - Synexus Clinical Research ...,https://www.linkedin.com/in/sara-garvey-6414b2ab?trk=people-guest_people_search-card,"Identifying patients via ID, medical record or other means. Drawing blood using needles and other equipment. Labeling samples correctly and send them for ..."
Eli Lily,Kanza B. - Clinical Research Coordinator II - The University of ...,https://www.linkedin.com/in/kanza-bey-suna,"I have worked extensively with Pfizer, Sanofi, Eli Lily, and other pharmaceutical sponsors. ... Supervise on-site conduct of clinical studies acting as liaison ..."
Eli Lily,Sai Pranathi Vulimiri - Clinical Project Coordinator - Labcorp Drug ...,https://in.linkedin.com/in/sai-pranathi-vulimiri-5bb1221a3,"*Working closely with sponsors (Eli Lily, Merck, Novartis, Roche,Sanofi) and ... Manager. Apr 2023. India book of records. Government. Test Scores. Secured ..."
Eli Lily,Rhonda C. - Clinical Nurse Educator - BBraun Medical Inc. | LinkedIn,https://www.linkedin.com/in/rhonda-c-271aa4b?trk=public_profile_browsemap_profile-result-card_result-card_full-click,"Worked on multiple contracts; BD, Eli Lily, Convatec and 3M. Provided education nurses in the hospital setting on various medical device products. Worked ..."
Novo Nordisk,"Georgios Rompolas - Clinical, Medical & Regulatory Director ...",https://gr.linkedin.com/in/georgios-rompolas-a1033345,"Clinical, Medical & Regulatory Director Greece at Novo Nordisk · Experienced Head with a demonstrated history of working in the pharmaceuticals industry."
Novo Nordisk,"Shira Attas - Clinical Medical Manager, New Therapy Areas - Novo ...",https://il.linkedin.com/in/shira-attas-6388714,"Clinical Medical Manager, New Therapeutic Areas at Novo Nordisk · Experience: Novo Nordisk · Education: Weizmann Institute of Science · Location: Israel ..."
Novo Nordisk,"Belkisse Bentahar - Clinical, Medical and Regulatory Affairs Director ...",https://www.linkedin.com/in/belkisse-bentahar-51882585,Novo Nordisk Faculté de Médecine et de Pharmacie Mohamed V de Rabat - Morocco. Bucharest Metropolitan Area. 2K followers 500+ connections.
Novo Nordisk,"Mary Ngome - Senior Director, Clinical, Medical & Regulatory ...",https://ke.linkedin.com/in/mary-ngome-04521039,"Senior Director, Clinical, Medical, Regulatory, Pharmacovigilance and Patient Education, Middle East,Africa and CIS · Experience: Novo Nordisk · Education: ..."
Novo Nordisk,Nikolay Petrov - Clinical Medical and Regulatory Director - Novo ...,https://bg.linkedin.com/in/nikolay-petrov-7a6880b9,Clinical Medical and Regulatory Director at Novo Nordisk · Experience: Novo Nordisk · Education: Medical University Sofia · Location: Bulgaria · 500+ ...
Novo Nordisk,Daniela Girfoglio - Clinical Medical Manager - Novo Nordisk | LinkedIn,https://uk.linkedin.com/in/daniela-girfoglio-12383242,Clinical Medical Manager at Novo Nordisk · Experience: Novo Nordisk ... Associate Director Medical Affairs. Jazz Pharmaceuticals. Mar 2021 - Present 3 years ...
Novo Nordisk,"Konstantin Dimitrov, MD - Clinical Medical Manager Cardiovascular ...",https://bg.linkedin.com/in/konstantin-dimitrov-md-0738901a5,"Clinical Medical Manager Cardiovascular Diseases at Novo Nordisk · ""The key to growth is the introduction of higher dimensions of consciousness into our ..."
Novo Nordisk,"Chelsea Luft - Director, Clinical Supply Chain - Novo Nordisk ...",https://www.linkedin.com/in/chelsea-luft-2409714a,"Director, Clinical Supply Chain at Novo Nordisk, Project Management Professional (PMP) · Idea-driven, innovative, strategic, analytical, global-minded, ..."
Novo Nordisk,Dimiter Lozev - Senior Clinical Research Manager - Novo Nordisk ...,https://bg.linkedin.com/in/dimiter-lozev-19b4a640,Sr. Clinical Research Manager at Novo Nordisk · Experience: Novo Nordisk · Education: Medical University of Sofia · Location: Lozenets · 368 connections on ...
Novo Nordisk,"Ranjan KM, MD (JIPMER) - Clinical Medical Manager - Novo Nordisk",https://in.linkedin.com/in/ranjan-km-md-jipmer-b2aa09168,Pharmaceutical Physician | Clinical Medical Manager at Novo Nordisk | Shaping Tomorrow's care in Rare Diseases Management · A Pharmaceutical Physician who ...
